"","id","arena","n_trial","behaviour2","type","hp_presence","duration_test","duration","prop_duration"
"542","ledy23",2,1,"nf","S","n",1201,9,0.00749375520399667
"543","ledy27",2,1,"nf","S","n",1201,26,0.0216486261448793
"544","ledy30",2,1,"nf","S","n",1201,5,0.00416319733555371
"545","ledy38",2,1,"nf","S","n",1201,81,0.06744379683597
"546","ledy49",2,1,"nf","S","n",1201,32,0.0266444629475437
"547","ledy52",2,1,"nf","S","n",1201,9,0.00749375520399667
"548","ledy56",2,1,"nf","S","n",1201,142,0.118234804329725
"549","lesp2",2,1,"nf","S","n",1201,8,0.00666111573688593
"550","lebe02",3,1,"nf","S","n",1201,79,0.0657785179017485
"551","lebe03",3,1,"nf","S","n",1201,18,0.0149875104079933
"552","ledy03",3,1,"nf","S","n",1201,4,0.00333055786844296
"553","ledy11",3,1,"nf","S","n",1201,16,0.0133222314737719
"554","ledy26",3,1,"nf","S","n",1201,6,0.00499583680266445
"555","ledy29",3,1,"nf","S","n",1201,20,0.0166527893422148
"556","ledy33",3,1,"nf","S","n",1201,28,0.0233139050791007
"557","ledy45",3,1,"nf","S","n",1201,8,0.00666111573688593
"558","ledy46",3,1,"nf","S","n",1201,13,0.0108243130724396
"559","ledy53",3,1,"nf","S","n",1201,19,0.0158201498751041
"560","lehan02",3,1,"nf","S","n",1201,4,0.00333055786844296
"561","lehan05",3,1,"nf","S","n",1201,4,0.00333055786844296
"562","leon04",3,1,"nf","S","n",1201,182,0.151540383014155
"563","leto01",3,1,"nf","S","n",1201,17,0.0141548709408826
"564","levi01",3,1,"nf","S","n",1201,78,0.0649458784346378
"565","levi02",3,1,"nf","S","n",1201,11,0.00915903413821815
"566","ledou03",4,1,"nf","S","n",1201,68,0.0566194837635304
"567","ledou04",4,1,"nf","S","n",1201,26,0.0216486261448793
"568","ledy39",4,1,"nf","S","n",1201,5,0.00416319733555371
"569","ledo03",2,2,"nf","S","n",1201,43,0.0358034970857619
"570","ledy06",2,2,"nf","S","n",1201,40,0.0333055786844296
"571","ledy23",2,2,"nf","S","n",1201,7,0.00582847626977519
"572","ledy30",2,2,"nf","S","n",1201,4,0.00333055786844296
"573","ledy33",2,2,"nf","S","n",1201,105,0.0874271440466278
"574","ledy49",2,2,"nf","S","n",1201,26,0.0216486261448793
"575","ledy52",2,2,"nf","S","n",1201,9,0.00749375520399667
"576","lesp2",2,2,"nf","S","n",1201,82,0.0682764363030808
"577","lebe02",3,2,"nf","S","n",1201,4,0.00333055786844296
"578","ledy11",3,2,"nf","S","n",1201,19,0.0158201498751041
"579","ledy29",3,2,"nf","S","n",1201,7,0.00582847626977519
"580","ledy45",3,2,"nf","S","n",1201,14,0.0116569525395504
"581","ledy46",3,2,"nf","S","n",1201,13,0.0108243130724396
"582","lehan02",3,2,"nf","S","n",1201,11,0.00915903413821815
"583","lehan05",3,2,"nf","S","n",1201,41,0.0341382181515404
"584","leon04",3,2,"nf","S","n",1201,111,0.0924229808492923
"585","levi01",3,2,"nf","S","n",1201,17,0.0141548709408826
"586","levi02",3,2,"nf","S","n",1201,17,0.0141548709408826
"587","ledou03",4,2,"nf","S","n",1201,18,0.0149875104079933
"588","ledou04",4,2,"nf","S","n",1201,95,0.0791007493755204
"589","ledo03",2,3,"nf","S","n",1201,7,0.00582847626977519
"590","ledy06",2,3,"nf","S","n",1201,6,0.00499583680266445
"591","ledy49",2,3,"nf","S","n",1201,8,0.00666111573688593
"592","ledy52",2,3,"nf","S","n",1201,9,0.00749375520399667
"593","lebe02",3,3,"nf","S","n",1201,167,0.139050791007494
"594","ledy11",3,3,"nf","S","n",1201,19,0.0158201498751041
"595","ledy29",3,3,"nf","S","n",1201,3,0.00249791840133222
"596","ledy45",3,3,"nf","S","n",1201,10,0.00832639467110741
"597","ledy46",3,3,"nf","S","n",1201,11,0.00915903413821815
"598","lehan05",3,3,"nf","S","n",1201,5,0.00416319733555371
"599","ledou03",4,3,"nf","S","n",1201,12,0.00999167360532889
"600","ledy05",2,4,"nf","S","n",1201,9,0.00749375520399667
"601","ledy49",2,4,"nf","S","n",1201,10,0.00832639467110741
"602","lebe02",3,4,"nf","S","n",1201,33,0.0274771024146545
"603","ledy11",3,4,"nf","S","n",1201,13,0.0108243130724396
"604","ledy45",3,4,"nf","S","n",1201,14,0.0116569525395504
"605","ledy46",3,4,"nf","S","n",1201,4,0.00333055786844296
"606","lehan05",3,4,"nf","S","n",1201,6,0.00499583680266445
"607","ledy49",2,5,"nf","S","n",1201,8,0.00666111573688593
"608","lebe02",3,5,"nf","S","n",1201,9,0.00749375520399667
"609","ledy11",3,5,"nf","S","n",1201,22,0.0183180682764363
"610","ledy45",3,5,"nf","S","n",1201,6,0.00499583680266445
"611","lehan05",3,5,"nf","S","n",1201,4,0.00333055786844296
"612","ledou03",4,5,"nf","S","n",1201,16,0.0133222314737719
"613","ledy49",2,5,"nf","S","n",1201,11,0.00915903413821815
"614","lebe02",3,5,"nf","S","n",1201,50,0.0416319733555371
"615","ledy11",3,5,"nf","S","n",1201,19,0.0158201498751041
"616","ledy45",3,5,"nf","S","n",1201,5,0.00416319733555371
"703","ledy23",2,2,"walk","S","n",1201,6,0.00499583680266445
"704","ledo03",2,3,"walk","S","n",1201,64,0.0532889258950874
"777","leon01",1,1,"ef","NS","y",1201,109,0.0907577019150708
"778","ledy18",2,1,"ef","NS","y",1201,8,0.00666111573688593
"779","lefe02",2,1,"ef","NS","y",1201,14,0.0116569525395504
"780","lehan03",2,1,"ef","NS","y",1201,62,0.0516236469608659
"781","ledy15",3,1,"ef","NS","y",1201,69,0.0574521232306411
"782","ledy16",3,1,"ef","NS","y",1201,261,0.217318900915903
"783","ledy17",3,1,"ef","NS","y",1201,862,0.717735220649459
"784","ledy34",3,1,"ef","NS","y",1201,529,0.440466278101582
"785","lewa01",3,1,"ef","NS","y",1201,48,0.0399666944213156
"786","lebe01",4,1,"ef","NS","y",1201,677,0.563696919233972
"787","ledy09",4,1,"ef","NS","y",1201,163,0.135720233139051
"788","ledy12",4,1,"ef","NS","y",1201,7,0.00582847626977519
"789","ledy14",4,1,"ef","NS","y",1201,82,0.0682764363030808
"790","ledy41",4,1,"ef","NS","y",1201,51,0.0424646128226478
"791","ledy57",4,1,"ef","NS","y",1201,82,0.0682764363030808
"792","leon01",1,2,"ef","NS","y",1201,224,0.186511240632806
"793","leon02",1,2,"ef","NS","y",1201,2,0.00166527893422148
"794","lehan04",2,2,"ef","NS","y",1201,6,0.00499583680266445
"795","ledo05",3,2,"ef","NS","y",1201,81,0.06744379683597
"796","ledy01",3,2,"ef","NS","y",1201,60,0.0499583680266445
"797","ledy15",3,2,"ef","NS","y",1201,62,0.0516236469608659
"798","ledy16",3,2,"ef","NS","y",1201,441,0.367194004995837
"799","lewa01",3,2,"ef","NS","y",1201,7,0.00582847626977519
"800","lewa02",3,2,"ef","NS","y",1201,56,0.0466278101582015
"801","lebe01",4,2,"ef","NS","y",1201,726,0.604496253122398
"802","ledy14",4,2,"ef","NS","y",1201,32,0.0266444629475437
"803","ledy41",4,2,"ef","NS","y",1201,32,0.0266444629475437
"804","lema02",4,2,"ef","NS","y",1201,63,0.0524562864279767
"805","ledy44",1,3,"ef","NS","y",1201,129,0.107410491257286
"806","ledy01",3,3,"ef","NS","y",1201,194,0.161532056619484
"807","ledy16",3,3,"ef","NS","y",1201,22,0.0183180682764363
"808","lebe01",4,3,"ef","NS","y",1201,386,0.321398834304746
"809","ledy09",4,3,"ef","NS","y",1201,48,0.0399666944213156
"810","ledy10",4,3,"ef","NS","y",1201,37,0.0308076602830974
"811","ledy41",4,3,"ef","NS","y",1201,4,0.00333055786844296
"812","ledy44",1,4,"ef","NS","y",1201,140,0.116569525395504
"813","ledy09",4,4,"ef","NS","y",1201,37,0.0308076602830974
"814","ledy10",4,4,"ef","NS","y",1201,119,0.0990840965861782
"815","ledy14",4,4,"ef","NS","y",1201,182,0.151540383014155
"816","ledy44",1,5,"ef","NS","y",1201,213,0.177352206494588
"817","ledy09",2,5,"ef","NS","y",1201,69,0.0574521232306411
"818","lebe01",4,5,"ef","NS","y",1201,341,0.283930058284763
"819","ledy14",4,5,"ef","NS","y",1201,55,0.0457951706910908
"820","ledy55",4,5,"ef","NS","y",1201,3,0.00249791840133222
"821","ledy14",2,5,"ef","NS","y",1201,41,0.0341382181515404
"822","ledy15",3,1,"fe","NS","y",1201,488,0.406328059950042
"823","ledy34",3,1,"fe","NS","y",1201,116,0.096586178184846
"824","ledy10",4,1,"fe","NS","y",1201,380,0.316402997502082
"825","ledy19",4,1,"fe","NS","y",1201,190,0.158201498751041
"826","levir02",4,1,"fe","NS","y",1201,498,0.414654454621149
"827","ledy15",3,2,"fe","NS","y",1201,278,0.231473771856786
"828","ledo1",4,2,"fe","NS","y",1201,612,0.509575353871774
"829","ledy44",1,3,"fe","NS","y",1201,16,0.0133222314737719
"830","ledy14",4,3,"fe","NS","y",1201,883,0.735220649458784
"831","ledy55",4,3,"fe","NS","y",1201,950,0.791007493755204
"832","ledy55",4,4,"fe","NS","y",1201,148,0.12323064113239
"833","leon01",1,1,"nf","NS","y",1201,124,0.103247293921732
"834","ledy18",2,1,"nf","NS","y",1201,9,0.00749375520399667
"835","lefe02",2,1,"nf","NS","y",1201,6,0.00499583680266445
"836","lehan03",2,1,"nf","NS","y",1201,6,0.00499583680266445
"837","ledy01",3,1,"nf","NS","y",1201,8,0.00666111573688593
"838","ledy15",3,1,"nf","NS","y",1201,7,0.00582847626977519
"839","ledy16",3,1,"nf","NS","y",1201,77,0.0641132389675271
"840","ledy17",3,1,"nf","NS","y",1201,15,0.0124895920066611
"841","ledy32",3,1,"nf","NS","y",1201,1,0.000832639467110741
"842","ledy34",3,1,"nf","NS","y",1201,30,0.0249791840133222
"843","lewa01",3,1,"nf","NS","y",1201,217,0.180682764363031
"844","lebe01",4,1,"nf","NS","y",1201,100,0.0832639467110741
"845","ledy09",4,1,"nf","NS","y",1201,33,0.0274771024146545
"846","ledy10",4,1,"nf","NS","y",1201,43,0.0358034970857619
"847","ledy14",4,1,"nf","NS","y",1201,10,0.00832639467110741
"848","ledy19",4,1,"nf","NS","y",1201,31,0.025811823480433
"849","ledy41",4,1,"nf","NS","y",1201,23,0.019150707743547
"850","ledy55",4,1,"nf","NS","y",1201,3,0.00249791840133222
"851","ledy57",4,1,"nf","NS","y",1201,2,0.00166527893422148
"852","lema02",4,1,"nf","NS","y",1201,11,0.00915903413821815
"853","levir02",4,1,"nf","NS","y",1201,29,0.0241465445462115
"854","leon01",1,2,"nf","NS","y",1201,163,0.135720233139051
"855","leon02",1,2,"nf","NS","y",1201,3,0.00249791840133222
"856","lehan03",2,2,"nf","NS","y",1201,6,0.00499583680266445
"857","lehan04",2,2,"nf","NS","y",1201,8,0.00666111573688593
"858","ledo05",3,2,"nf","NS","y",1201,1,0.000832639467110741
"859","ledy01",3,2,"nf","NS","y",1201,13,0.0108243130724396
"860","ledy15",3,2,"nf","NS","y",1201,73,0.0607826810990841
"861","ledy16",3,2,"nf","NS","y",1201,97,0.0807660283097419
"862","lewa01",3,2,"nf","NS","y",1201,2,0.00166527893422148
"863","lewa02",3,2,"nf","NS","y",1201,85,0.070774354704413
"864","lebe01",4,2,"nf","NS","y",1201,81,0.06744379683597
"865","ledo1",4,2,"nf","NS","y",1201,5,0.00416319733555371
"866","ledy14",4,2,"nf","NS","y",1201,10,0.00832639467110741
"867","ledy41",4,2,"nf","NS","y",1201,3,0.00249791840133222
"868","levir02",4,2,"nf","NS","y",1201,1,0.000832639467110741
"869","ledy44",1,3,"nf","NS","y",1201,23,0.019150707743547
"870","lebo08",3,3,"nf","NS","y",1201,5,0.00416319733555371
"871","ledy01",3,3,"nf","NS","y",1201,13,0.0108243130724396
"872","lebe01",4,3,"nf","NS","y",1201,13,0.0108243130724396
"873","ledy09",4,3,"nf","NS","y",1201,78,0.0649458784346378
"874","ledy10",4,3,"nf","NS","y",1201,61,0.0507910074937552
"875","ledy14",4,3,"nf","NS","y",1201,26,0.0216486261448793
"876","ledy41",4,3,"nf","NS","y",1201,9,0.00749375520399667
"877","ledy55",4,3,"nf","NS","y",1201,18,0.0149875104079933
"878","ledy44",1,4,"nf","NS","y",1201,20,0.0166527893422148
"879","lebo08",3,4,"nf","NS","y",1201,7,0.00582847626977519
"880","ledy09",4,4,"nf","NS","y",1201,41,0.0341382181515404
"881","ledy10",4,4,"nf","NS","y",1201,13,0.0108243130724396
"882","ledy14",4,4,"nf","NS","y",1201,8,0.00666111573688593
"883","ledy55",4,4,"nf","NS","y",1201,86,0.0716069941715237
"884","ledy44",1,5,"nf","NS","y",1201,16,0.0133222314737719
"885","ledy09",2,5,"nf","NS","y",1201,22,0.0183180682764363
"886","lebo08",3,5,"nf","NS","y",1201,43,0.0358034970857619
"887","lebe01",4,5,"nf","NS","y",1201,21,0.0174854288093256
"888","ledy55",4,5,"nf","NS","y",1201,6,0.00499583680266445
"889","ledy14",2,5,"nf","NS","y",1201,4,0.00333055786844296
"943","ledy15",3,1,"walk","NS","y",1201,98,0.0815986677768526
"944","ledy17",3,1,"walk","NS","y",1201,6,0.00499583680266445
"945","ledy34",3,1,"walk","NS","y",1201,12,0.00999167360532889
"946","ledy14",4,1,"walk","NS","y",1201,13,0.0108243130724396
"947","ledy14",4,2,"walk","NS","y",1201,18,0.0149875104079933
"948","ledy44",1,5,"walk","NS","y",1201,3,0.00249791840133222
"963","ledou05",2,1,"ef","S","y",1201,49,0.0407993338884263
"964","ledy02",2,1,"ef","S","y",1201,113,0.0940882597835137
"965","ledy06",2,1,"ef","S","y",1201,39,0.0324729392173189
"966","ledy30",2,1,"ef","S","y",1201,7,0.00582847626977519
"967","ledy38",2,1,"ef","S","y",1201,86,0.0716069941715237
"968","ledy52",2,1,"ef","S","y",1201,3,0.00249791840133222
"969","ledy56",2,1,"ef","S","y",1201,8,0.00666111573688593
"970","lebe03",3,1,"ef","S","y",1201,167,0.139050791007494
"971","ledy03",3,1,"ef","S","y",1201,48,0.0399666944213156
"972","ledy26",3,1,"ef","S","y",1201,33,0.0274771024146545
"973","ledy29",3,1,"ef","S","y",1201,37,0.0308076602830974
"974","lehan02",3,1,"ef","S","y",1201,21,0.0174854288093256
"975","ledy39",4,1,"ef","S","y",1201,1,0.000832639467110741
"976","ledy06",2,2,"ef","S","y",1201,42,0.0349708576186511
"977","ledy49",2,2,"ef","S","y",1201,92,0.0766028309741882
"978","ledy52",2,2,"ef","S","y",1201,182,0.151540383014155
"979","ledy46",3,2,"ef","S","y",1201,77,0.0641132389675271
"980","lehan05",3,2,"ef","S","y",1201,2,0.00166527893422148
"981","ledou03",4,2,"ef","S","y",1201,11,0.00915903413821815
"982","ledy49",2,3,"ef","S","y",1201,150,0.124895920066611
"983","ledy52",2,3,"ef","S","y",1201,222,0.184845961698585
"984","lebe02",3,3,"ef","S","y",1201,250,0.208159866777685
"985","ledy46",3,3,"ef","S","y",1201,23,0.019150707743547
"986","ledou03",4,3,"ef","S","y",1201,49,0.0407993338884263
"987","ledy45",3,4,"ef","S","y",1201,2,0.00166527893422148
"988","ledy46",3,4,"ef","S","y",1201,65,0.0541215653621982
"989","ledou03",4,4,"ef","S","y",1201,24,0.0199833472106578
"990","lebe02",3,5,"ef","S","y",1201,42,0.0349708576186511
"991","ledy45",3,5,"ef","S","y",1201,31,0.025811823480433
"992","ledy49",2,5,"ef","S","y",1201,123,0.102414654454621
"993","ledy45",3,5,"ef","S","y",1201,19,0.0158201498751041
"994","ledy02",2,1,"fe","S","y",1201,216,0.17985012489592
"995","ledy56",2,1,"fe","S","y",1201,285,0.237302248126561
"996","lesp2",2,1,"fe","S","y",1201,868,0.722731057452123
"997","lesp2",2,2,"fe","S","y",1201,139,0.115736885928393
"998","lebe02",3,2,"fe","S","y",1201,1021,0.850124895920067
"999","levi02",3,2,"fe","S","y",1201,320,0.266444629475437
"1000","lebe02",3,3,"fe","S","y",1201,24,0.0199833472106578
"1001","ledy29",3,3,"fe","S","y",1201,552,0.459616985845129
"1002","ledy46",3,3,"fe","S","y",1201,805,0.670274771024147
"1003","ledy46",3,4,"fe","S","y",1201,305,0.253955037468776
"1004","ledy11",3,5,"fe","S","y",1201,237,0.197335553705246
"1005","lebo06",2,1,"nf","S","y",1201,132,0.109908409658618
"1006","ledou02",2,1,"nf","S","y",1201,9,0.00749375520399667
"1007","ledy02",2,1,"nf","S","y",1201,17,0.0141548709408826
"1008","ledy06",2,1,"nf","S","y",1201,30,0.0249791840133222
"1009","ledy23",2,1,"nf","S","y",1201,1,0.000832639467110741
"1010","ledy27",2,1,"nf","S","y",1201,22,0.0183180682764363
"1011","ledy30",2,1,"nf","S","y",1201,9,0.00749375520399667
"1012","ledy38",2,1,"nf","S","y",1201,42,0.0349708576186511
"1013","ledy49",2,1,"nf","S","y",1201,1,0.000832639467110741
"1014","ledy56",2,1,"nf","S","y",1201,133,0.110741049125729
"1015","lesp2",2,1,"nf","S","y",1201,100,0.0832639467110741
"1016","lebe02",3,1,"nf","S","y",1201,14,0.0116569525395504
"1017","lebe03",3,1,"nf","S","y",1201,6,0.00499583680266445
"1018","ledy03",3,1,"nf","S","y",1201,19,0.0158201498751041
"1019","ledy11",3,1,"nf","S","y",1201,4,0.00333055786844296
"1020","ledy26",3,1,"nf","S","y",1201,1,0.000832639467110741
"1021","ledy29",3,1,"nf","S","y",1201,15,0.0124895920066611
"1022","ledy45",3,1,"nf","S","y",1201,3,0.00249791840133222
"1023","ledy46",3,1,"nf","S","y",1201,36,0.0299750208159867
"1024","ledy53",3,1,"nf","S","y",1201,26,0.0216486261448793
"1025","lehan02",3,1,"nf","S","y",1201,6,0.00499583680266445
"1026","leon04",3,1,"nf","S","y",1201,15,0.0124895920066611
"1027","leto01",3,1,"nf","S","y",1201,1,0.000832639467110741
"1028","levi01",3,1,"nf","S","y",1201,9,0.00749375520399667
"1029","levi02",3,1,"nf","S","y",1201,3,0.00249791840133222
"1030","ledou03",4,1,"nf","S","y",1201,19,0.0158201498751041
"1031","ledy39",4,1,"nf","S","y",1201,2,0.00166527893422148
"1032","ledy06",2,2,"nf","S","y",1201,10,0.00832639467110741
"1033","ledy23",2,2,"nf","S","y",1201,5,0.00416319733555371
"1034","ledy49",2,2,"nf","S","y",1201,10,0.00832639467110741
"1035","ledy52",2,2,"nf","S","y",1201,1,0.000832639467110741
"1036","lesp2",2,2,"nf","S","y",1201,272,0.226477935054122
"1037","lebe02",3,2,"nf","S","y",1201,140,0.116569525395504
"1038","ledy11",3,2,"nf","S","y",1201,1,0.000832639467110741
"1039","ledy29",3,2,"nf","S","y",1201,2,0.00166527893422148
"1040","ledy45",3,2,"nf","S","y",1201,8,0.00666111573688593
"1041","ledy46",3,2,"nf","S","y",1201,87,0.0724396336386345
"1042","lehan02",3,2,"nf","S","y",1201,11,0.00915903413821815
"1043","lehan05",3,2,"nf","S","y",1201,22,0.0183180682764363
"1044","leon04",3,2,"nf","S","y",1201,58,0.048293089092423
"1045","levi02",3,2,"nf","S","y",1201,52,0.0432972522897585
"1046","ledou04",4,2,"nf","S","y",1201,31,0.025811823480433
"1047","ledy06",2,3,"nf","S","y",1201,3,0.00249791840133222
"1048","ledy49",2,3,"nf","S","y",1201,7,0.00582847626977519
"1049","ledy52",2,3,"nf","S","y",1201,17,0.0141548709408826
"1050","lebe02",3,3,"nf","S","y",1201,245,0.203996669442132
"1051","ledy11",3,3,"nf","S","y",1201,27,0.02248126561199
"1052","ledy29",3,3,"nf","S","y",1201,27,0.02248126561199
"1053","ledy46",3,3,"nf","S","y",1201,17,0.0141548709408826
"1054","ledou03",4,3,"nf","S","y",1201,5,0.00416319733555371
"1055","ledy05",2,4,"nf","S","y",1201,9,0.00749375520399667
"1056","ledy11",3,4,"nf","S","y",1201,11,0.00915903413821815
"1057","ledy45",3,4,"nf","S","y",1201,12,0.00999167360532889
"1058","ledy46",3,4,"nf","S","y",1201,45,0.0374687760199833
"1059","ledy49",2,5,"nf","S","y",1201,2,0.00166527893422148
"1060","lebe02",3,5,"nf","S","y",1201,9,0.00749375520399667
"1061","ledy11",3,5,"nf","S","y",1201,33,0.0274771024146545
"1062","ledy45",3,5,"nf","S","y",1201,3,0.00249791840133222
"1063","ledy49",2,5,"nf","S","y",1201,1,0.000832639467110741
"1064","lebe02",3,5,"nf","S","y",1201,14,0.0116569525395504
"1065","ledy11",3,5,"nf","S","y",1201,88,0.0732722731057452
"1066","ledy45",3,5,"nf","S","y",1201,3,0.00249791840133222
"1127","ledy02",2,1,"walk","S","y",1201,41,0.0341382181515404
"1128","ledy30",2,1,"walk","S","y",1201,38,0.0316402997502082
"1129","ledy49",2,3,"walk","S","y",1201,12,0.00999167360532889
"1130","ledy11",3,5,"walk","S","y",1201,13,0.0108243130724396
